Date/Time,Glazing,Walls,Ceilings (int),Floors (int),Ground Floors,Partitions (int),Roofs,Floors (ext),Internal Natural vent.,Sensible Cooling,Mech Vent + Nat Vent + Infiltration,External Infiltration,Total Cooling,General Lighting,Miscellaneous,Catering Gains,Computer + Equip,Occupancy,Solar Gains Exterior Windows,Zone Sensible Cooling,Air Temperature,Radiant Temperature,Operative Temperature,Heat Recovery Sensible Cooling,Heat Recovery Total Cooling,Room Electricity,Room Gas,Lighting,Cooling (Electricity),DHW (Gas),Exterior lighting,Outside Dry-Bulb Temperature
,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,ac/h,kW,kW,kW,kW,kW,kW,kW,kW,kW,°C,°C,°C,kW,kW,kW,kW,kW,kW,kW,kW,°C
8/17/2002 1:00,-0.061592,1.169969,0.398016,0.347216,-0.346689,0.044505,-0.062866,0.022108,0,-1.711524,9.22E-02,0.046047,-1.711524,0,0,0,0,0,0,-1.711524,28,29.09916,28.54958,0,0,0,0,0,0.380339,0,0,29.9
8/17/2002 2:00,-0.117104,1.148516,0.379035,0.329237,-0.336976,0.04454,-0.100287,0.019672,0,-1.465397,0.0603926,0.016075,-1.465397,0,0,0,0,0,0,-1.465398,28,29.01311,28.50656,0,0,0,0,0,0.325644,0,0,28.95
8/17/2002 3:00,-0.190036,1.126596,0.371227,0.32125,-0.325474,0.047493,-0.14424,0.015535,0,-0.635669,5.48698,-0.000348,-0.635669,0,0,0,0,0,0,-1.214461,28,28.91857,28.45928,0,0,0,0,0,0.14126,0,0,27.85
8/17/2002 4:00,-0.214154,1.094717,0.356531,0.313167,-0.317335,0.046092,-0.194317,0.007872,0,0,5.182281,-0.007293,0,0,0,0,0,0,0,-1.021772,28,28.82977,28.41488,0,0,0,0,0,0,0,0,27.225
8/17/2002 5:00,-0.204844,1.039686,0.320475,0.28632,-0.317953,0.035784,-0.229546,-0.001821,0,0,3.79133,-0.010882,0,0,0,0,0,0,6.05E-02,-0.8939448,28,28.75879,28.37939,0,0,0,0,0,0,0,0,27.1
8/17/2002 6:00,-0.046957,0.726189,-0.046899,-0.263349,-0.532248,-0.083863,-0.357555,-0.049194,0,0,5.421303,-0.00758,0,0,0,0,0,0,1.891485,-1.063389,28,28.88197,28.44098,0,0,0,0,0,0,0,0,27.25
8/17/2002 7:00,-0.039131,0.591761,-0.150271,-0.061784,-0.451426,-0.086883,-0.231537,-0.012303,0,-0.216901,12.74659,-0.002021,-0.216901,0,0,0,0,0,1.73588,-1.216928,28,28.94501,28.4725,0,0,0,0,0,0.0482,0,0,27.675
8/17/2002 8:00,0.07248,0.321296,-0.39464,-0.235919,-0.533526,-0.144212,-0.026438,-0.016169,0,-1.561311,1.57E-02,0.00197,-1.561311,0,0,0,0,0,2.548429,-1.561311,28,29.12471,28.56236,0,0,0,0,0,0.346957,0,0,28.4
8/17/2002 9:00,0.205788,0.020718,-0.645122,-0.490399,-0.61463,-0.191505,0.334899,0.007063,0,-2.175896,5.89E-02,0.024056,-2.175896,0,0,0,0,0,3.485932,-2.175895,28,29.40566,28.70283,0,0,0,0,0,0.483534,0,0,29.5
8/17/2002 10:00,0.308307,-0.227163,-0.82036,-0.695387,-0.672488,-0.203539,0.756775,0.042767,0,-2.936758,0.1036082,0.074742,-2.936758,0,0,0,0,0,4.24232,-2.936758,28,29.71634,28.85817,0,0,0,0,0,0.652614,0,0,30.7
8/17/2002 11:00,0.442815,-0.376685,-0.901039,-0.795585,-0.705531,-0.182139,1.076533,0.074938,0,-3.949403,0.310063,0.359495,-3.949403,0,0,0,0,0,4.71533,-3.949403,28,29.99824,28.99912,0,0,0,0,0,0.877645,0,0,32.275
