"Date/Time","Outside Dry-Bulb Temperature","Outside Dew-Point Temperature","Direct Normal Solar","Diffuse Horizontal Solar","Wind Speed","Wind Direction","Atmospheric Pressure","Solar Altitude","Solar Azimuth",
,"°C","°C","kW","kW","m/s","°","Pa","°","°",
"8/17/2002 1:00:00 AM","29.9","7.1","0","0","1.6","25.75","87350","-38.42405","20.43657",
"8/17/2002 2:00:00 AM","28.95","7.075","0","0","1.325","6.25","87400","-32.55518","36.84293",
"8/17/2002 3:00:00 AM","27.85","7.425","0","0","0.575","2.75","87400","-24.12142","50.37966",
"8/17/2002 4:00:00 AM","27.225","7.65","0","0","0.1","0.5","87400","-14.00061","61.5034",
"8/17/2002 5:00:00 AM","27.1","7.7","0.073","0.0115","0","0","87475","-2.824431","70.98262",
"8/17/2002 6:00:00 AM","27.25","7.55","0.31825","0.068","0","0","87500","8.982511","79.5621",
"8/17/2002 7:00:00 AM","27.675","7.425","0.41825","0.155","0","0","87500","21.11614","87.95274",
"8/17/2002 8:00:00 AM","28.4","6.875","0.5005","0.2365","0.15","37.5","87575","33.30906","96.98206",
"8/17/2002 9:00:00 AM","29.5","6.325","0.57175","0.30525","0.725","80","87600","45.22596","107.9256",
"8/17/2002 10:00:00 AM","30.7","5.675","0.62975","0.35275","1.725","112.5","87600","56.24317","123.2426",
"8/17/2002 11:00:00 AM","32.275","4.9","0.6655","0.37925","4.175","129.75","87525","64.85938","147.6296",
"8/17/2002 12:00:00 PM","33.75","4.175","0.671","0.389","6.4","140.5","87500","67.95319","183.5505",
"8/17/2002 1:00:00 PM","34.925","3.775","0.6435","0.38425","7.8","148.25","87425","63.57166","217.8143",
"8/17/2002 2:00:00 PM","35.875","3.7","0.58925","0.35875","8.4","162","87400","54.32577","240.0953",
"8/17/2002 3:00:00 PM","36.475","3.7","0.52","0.3075","8.2","166","87400","43.06812","254.3264",
"8/17/2002 4:00:00 PM","36.6","3.925","0.44225","0.23325","7.425","154","87475","31.06663","264.7813",
"8/17/2002 5:00:00 PM","35.85","4.15","0.35575","0.14525","4.575","72","87500","18.8633","273.6165",
"8/17/2002 6:00:00 PM","34.85","4.575","0.21225","0.05775","1.9","11.5","87500","6.769915","281.9863",
"8/17/2002 7:00:00 PM","33.85","5.225","0","0","0.325","0","87500","-4.945891","290.6786",
"8/17/2002 8:00:00 PM","32.625","6.375","0","0","0.825","137.25","87500","-15.96418","300.4034",
"8/17/2002 9:00:00 PM","31.55","7.6","0","0","1.625","265.5","87425","-25.82849","311.9168",
"8/17/2002 10:00:00 PM","30.775","8.35","0","0","1.95","320.75","87400","-33.86119","325.9688",
"8/17/2002 11:00:00 PM","30.225","8.425","0","0","1.325","219.75","87325","-39.1485","342.8831",
"8/18/2002","29.725","8.325","0","0","0.575","100.5","87225","-40.78579","355.1867",
"8/18/2002 1:00:00 AM","29.225","8.15","0","0","0.1","18.25","87200","-38.71281","20.61808",
"8/18/2002 2:00:00 AM","28.125","7.95","0","0","0","0","87200","-32.80418","37.08559",
"8/18/2002 3:00:00 AM","27.275","7.75","0","0","0","0","87125","-24.33114","50.64818",
"8/18/2002 4:00:00 AM","26.875","7.55","0","0","0","0","87100","-14.17799","61.78125",
"8/18/2002 5:00:00 AM","27.025","7.5","0","0","0","0","87100","-2.977974","71.26691",
"8/18/2002 6:00:00 AM","27.475","7.5","0.31575","0.067","0","0","87175","8.844384","79.85752",
"8/18/2002 7:00:00 AM","28.125","7.425","0.4175","0.154","0","0","87200","20.98483","88.26895",
"8/18/2002 8:00:00 AM","29.05","6.725","0.5005","0.2355","0.3","57.75","87200","33.17444","97.33333",
"8/18/2002 9:00:00 AM","30.05","6.125","0.57175","0.30425","0.925","119.75","87200","45.07383","108.33",
"8/18/2002 10:00:00 AM","31.05","5.775","0.63","0.35175","1.775","161","87200","56.05107","123.7079",
"8/18/2002 11:00:00 AM","32.05","5.925","0.6665","0.37825","3.5","167","87275","64.59838","148.064",
"8/18/2002 12:00:00 PM","32.975","6","0.672","0.38775","4.9","161.5","87300","67.63572","183.6418",
"8/18/2002 1:00:00 PM","33.95","6.15","0.6445","0.38225","5.8","152.5","87300","63.2731","217.5532",
"8/18/2002 2:00:00 PM","34.95","5.975","0.59","0.357","5.775","131.25","87300","54.06935","239.7614",
"8/18/2002 3:00:00 PM","35.575","5.75","0.52","0.30625","5.475","112.25","87300","42.83823","254.0166",
"8/18/2002 4:00:00 PM","35.925","5.55","0.442","0.23125","5.1","102","87225","30.84817","264.504",
"8/18/2002 5:00:00 PM","35.7","5.5","0.3545","0.14325","5","116.5","87200","18.6458","273.3646",
"8/18/2002 6:00:00 PM","35.15","5.5","0.21075","0.05625","4.775","126.5","87275","6.5456","281.7527",
"8/18/2002 7:00:00 PM","34.25","5.5","0","0","4.175","122","87300","-5.183554","290.4596",
"8/18/2002 8:00:00 PM","32.65","4.9","0","0","2.65","79.5","87300","-16.22101","300.2004",
"8/18/2002 9:00:00 PM","31","4.7","0","0","1.225","36","87375","-26.10902","311.7404",
"8/18/2002 10:00:00 PM","29.4","5.225","0","0","0.225","6.5","87400","-34.16594","325.8435",
"8/18/2002 11:00:00 PM","27.725","7.275","0","0","0","0","87400","-39.46901","342.8462",
"8/19/2002","26.175","9.4","0","0","0","0","87400","-41.10195","355.1572",
"8/19/2002 1:00:00 AM","24.9","10.8","0","0","0","0","87400","-39.00398","20.80514",
"8/19/2002 2:00:00 AM","23.4","11.25","0","0","1.5","94.5","87400","-33.05461","37.33403",
"8/19/2002 3:00:00 AM","22.1","11.3","0","0","2.975","196.5","87325","-24.5416","50.92197",
"8/19/2002 4:00:00 AM","21.425","11.15","0","0","3.825","265","87300","-14.35577","62.06379",
